Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
3/3/2023,Check,1692,0,0,Labor,B,N
3/3/2023,Check,2320,0,0,Labor,B,N
3/3/2023,Check,675.34,0,0,Labor,B,N
3/3/2023,Check,675.34,0,0,Labor,B,N
3/3/2023,Check,848,0,0,Labor,B,N
3/2/2023,Check,1860,0,0,Labor,B,N
3/2/2023,Check,1848,0,0,Labor,B,N
3/2/2023,Check,1568.24,0,0,Labor,B,N
2/2/2023,Check,2700,0,0,Labor,B,N
2/2/2023,Check,675.34,0,0,Labor,B,N
2/2/2023,Check,675.34,0,0,Labor,B,N
2/3/2023,Check,848,0,0,Labor,B,N
2/3/2023,Check,1550,0,0,Labor,B,N
2/3/2023,Check,2200,0,0,Labor,B,N
2/14/2023,Check,100,0,0,Labor,B,N
2/17/2023,Check,2016,0,0,Labor,B,N
2/17/2023,Check,848,0,0,Labor,B,N
2/17/2023,Check,1720,0,0,Labor,B,N
2/18/2023,Check,3087.5,0,0,Labor,B,N
2/21/2023,Check,2950,0,0,Labor,B,N
2/21/2023,Check,1442,0,0,Labor,B,N
2/21/2023,Check,1094.15,0,0,Labor,B,N
2/21/2023,Check,1750,0,0,Labor,B,N
2/21/2023,Check,1100,0,0,Labor,B,N
2/21/2023,Check,2440,0,0,Labor,B,N
2/21/2023,Check,1550,0,0,Labor,B,N
2/22/2023,Check,680.21,0,0,Labor,B,N
2/22/2023,Check,5850,0,0,Labor,B,N
2/23/2023,Check,500,0,0,Labor,B,N
2/24/2023,Check,770.04,0,0,Labor,B,N
2/24/2023,Check,675.33,0,0,Labor,B,N
2/24/2023,Check,675.33,0,0,Labor,B,N
2/27/2023,Check,1915.5,0,0,Labor,B,N
2/27/2023,Check,1309.49,0,0,Labor,B,N
2/27/2023,Check,3000,0,0,Labor,B,N
2/27/2023,Check,277.05,0,0,Labor,B,N
2/27/2023,Check,3087.5,0,0,Labor,B,N
2/27/2023,Check,8500,0,0,Labor,B,N
2/28/2023,Check,1000,0,0,Labor,B,N
2/28/2023,Check,500,0,0,Labor,B,N
2/28/2023,Check,2500,0,0,Labor,B,N
2/28/2023,Check,2500,0,0,Labor,B,N
1/31/2023,Check,1568.24,0,0,Labor,B,N
1/31/2023,Check,1850,0,0,Labor,B,N
1/30/2023,Check,277.05,0,0,Labor,B,N
