Date,Check,Description,Debit,Credit,Cards,Purchase Type
2/12/2024,3636,Check,1749,0,nan,Contract Labor
2/14/2024,3637,Check,3600,0,nan,Contract Labor
2/16/2024,3638,Check,1300,0,nan,Contract Labor
2/16/2024,3639,Check,4141.6,0,nan,Contract Labor
2/16/2024,3640,Check,1626,0,nan,Contract Labor
2/22/2024,3641,Check,4225,0,nan,Contract Labor
2/22/2024,3642,Check,6100,0,nan,Contract Labor
2/16/2024,3643,Check,250,0,nan,Contract Labor
2/16/2024,3644,Check,1058.75,0,nan,Contract Labor
2/16/2024,3645,Check,1619.82,0,nan,Contract Labor
2/16/2024,3645,Check,1619.82,0,nan,Contract Labor
2/15/2024,3646,Check,1440,0,nan,Contract Labor
2/15/2024,3647,Check,400,0,nan,Contract Labor
2/20/2024,3648,Check,2241,0,nan,Contract Labor
2/21/2024,3649,Check,1940,0,nan,Contract Labor
2/20/2024,3650,Check,1653.48,0,nan,Contract Labor
2/20/2024,3651,Check,2788,0,nan,Contract Labor
2/16/2024,3652,Check,500,0,nan,Contract Labor
2/15/2024,3653,Check,2195,0,nan,Contract Labor
2/20/2024,3654,Check,500,0,nan,Contract Labor
2/22/2024,3655,Check,555,0,nan,Contract Labor
3/4/2024,3656,Check,1300,0,nan,Contract Labor
3/4/2024,3657,Check,4040,0,nan,Contract Labor
2/29/2024,3658,Check,1534.93,0,nan,Contract Labor
3/4/2024,3659,Check,6470,0,nan,Contract Labor
3/4/2024,3660,Check,3775,0,nan,Contract Labor
3/1/2024,3661,Check,250,0,nan,Contract Labor
3/1/2024,3662,Check,2013.75,0,nan,Contract Labor
3/1/2024,3664,Check,1320,0,nan,Contract Labor
3/1/2024,3665,Check,2073,0,nan,Contract Labor
3/1/2024,3666,Check,1820,0,nan,Contract Labor
3/5/2024,3667,Check,1953.48,0,nan,Contract Labor
3/4/2024,3668,Check,1970,0,nan,Contract Labor
3/1/2024,3669,Check,500,0,nan,Contract Labor
2/29/2024,3670,Check,2195,0,nan,Contract Labor
3/4/2024,3671,Check,500,0,nan,Contract Labor
3/1/2024,3672,Check,3100,0,nan,Contract Labor
3/5/2024,3673,Check,400,0,nan,Contract Labor
3/1/2024,3674,Check,130,0,nan,Contract Labor
3/11/2024,3675,Check,1300,0,nan,Contract Labor
3/12/2024,3676,Check,400,0,nan,Contract Labor
3/12/2024,3677,Check,2600,0,nan,Contract Labor
3/11/2024,3678,Check,2500,0,nan,Contract Labor
