Date,Description,Debit,Credit,Cards,Purchase Type
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/23/2024,Bank Fee,34,0,0,Fee
1/18/2024,Bank Fee,3.46,0,0,Fee
1/18/2024,Bank Fee,34,0,0,Fee
1/17/2024,Bank Fee,24,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/5/2024,Bank Fee,34,0,0,Fee
1/31/2024,Bank Fee,6,0,0,Fee
4/3/2024,Bank of America,877.05,0,0,Loan
3/22/2024,Bank of America,877.05,0,0,Loan
2/6/2024,Bank of America,950.9,0,0,Loan
2/6/2024,Bank of America,0.48,0,0,Loan
2/6/2024,Bank of America,0,0.29,0,Loan
2/6/2024,Bank of America,0,0.19,0,Loan
3/11/2024,BBB,80,0,2994,Marketing
2/11/2024,BBB,80,0,2994,Marketing
1/11/2024,BBB,80,0,2994,Marketing
3/5/2024,Be-Eco Accountant,750,0,2994,Professional Service
2/23/2024,Be-Eco Accountant,1750,0,0,Professional Service
2/20/2024,Be-Eco Accountant,785,0,2994,Professional Service
1/25/2024,Be-Eco Accountant,785,0,2994,Professional Service
3/29/2024,Be-Eco Rent,100,0,0,Rent
3/29/2024,Be-Eco Rent,1500,0,0,Rent
2/29/2024,Be-Eco Rent,1500,0,0,Rent
2/29/2024,Be-Eco Rent,100,0,0,Rent
1/31/2024,Be-Eco Rent,1500,0,0,Rent
1/31/2024,Be-Eco Rent,100,0,0,Rent
1/5/2024,Be-Eco Rent,1500,0,0,Rent
1/5/2024,Be-Eco Rent,100,0,0,Rent
3/26/2024,Berrett Pest Control,60.62,0,2994,Professional Service
3/14/2024,Berrett Pest Control,107.17,0,2994,Professional Service
2/29/2024,Berrett Pest Control,60.62,0,2994,Professional Service
2/24/2024,Berrett Pest Control,60.62,0,2994,Professional Service
1/5/2024,Breed & Co,20.56,0,2591,Supplies
4/4/2024,Cash Withdrawal,4260,0,0,Withdrawal
3/4/2024,Cash Withdrawal,1620,0,0,Withdrawal
1/23/2024,Cash Withdrawal,50,0,0,Withdrawal
4/5/2024,Cashiers Check,4943,0,0,Supplies
3/28/2024,Cashiers Check,1103,0,0,Labor
3/19/2024,Cashiers Check,9277.75,0,0,Supplies
3/15/2024,Cashiers Check,1103,0,0,Labor
2/29/2024,Cashiers Check,1103,0,0,Labor
2/20/2024,Cashiers Check,12083.91,0,0,Supplies
2/14/2024,Cashiers Check,1003,0,0,Labor
2/14/2024,Cashiers Check,1103,0,0,Labor
1/31/2024,Cashiers Check,1103,0,0,Labor
1/16/2024,Cashiers Check,1103,0,0,Labor
1/19/2024,Chase Bank,0.31,0,0,Loan
1/19/2024,Deposit,0,0.3,0,Revenue
1/19/2024,Deposit,0,0.01,0,Revenue
4/5/2024,Check,100,0,0,Labor
4/4/2024,Check,4015.5,0,0,Labor
4/2/2024,Check,2260,0,0,Labor
4/2/2024,Check,6470,0,0,Labor
4/2/2024,Check,1472,0,0,Labor
4/2/2024,Check,2000,0,0,Labor
4/1/2024,Check,500,0,0,Labor
4/1/2024,Check,2235.95,0,0,Labor
4/1/2024,Check,250,0,0,Labor
4/1/2024,Check,1320,0,0,Labor
3/29/2024,Check,2195,0,0,Labor
3/29/2024,Check,2439.9,0,0,Labor
3/26/2024,Check,757.08,0,0,Labor
3/21/2024,Check,500,0,0,Labor
3/19/2024,Check,300,0,0,Labor
3/19/2024,Check,500,0,0,Labor
3/19/2024,Check,1970,0,0,Labor
3/19/2024,Check,1259.77,0,0,Labor
3/19/2024,Check,1700,0,0,Labor
3/19/2024,Check,2949,0,0,Labor
3/19/2024,Check,6470,0,0,Labor
3/19/2024,Check,4225,0,0,Labor
3/19/2024,Check,4455,0,0,Labor
3/19/2024,Check,2160,0,0,Labor
3/18/2024,Check,2155.95,0,0,Labor
3/18/2024,Check,250,0,0,Labor
3/18/2024,Check,400,0,0,Labor
3/16/2024,Check,2195,0,0,Labor
3/16/2024,Check,1080,0,0,Labor
3/16/2024,Check,1554,0,0,Labor
3/16/2024,Check,2339.9,0,0,Labor
3/12/2024,Check,2600,0,0,Labor
3/12/2024,Check,400,0,0,Labor
3/11/2024,Check,1300,0,0,Labor
3/11/2024,Check,2500,0,0,Labor
3/5/2024,Check,400,0,0,Labor
3/5/2024,Check,1953.48,0,0,Labor
3/4/2024,Check,500,0,0,Labor
3/4/2024,Check,1970,0,0,Labor
3/4/2024,Check,3775,0,0,Labor
3/4/2024,Check,6470,0,0,Labor
3/4/2024,Check,4040,0,0,Labor
3/4/2024,Check,1300,0,0,Labor
3/1/2024,Check,130,0,0,Labor
3/1/2024,Check,500,0,0,Labor
3/1/2024,Check,1820,0,0,Labor
3/1/2024,Check,2073,0,0,Labor
3/1/2024,Check,2013.75,0,0,Labor
3/1/2024,Check,250,0,0,Labor
3/1/2024,Check,1320,0,0,Labor
3/1/2024,Check,3100,0,0,Labor
2/29/2024,Check,2195,0,0,Labor
2/29/2024,Check,1689.67,0,0,Labor
2/29/2024,Check,1534.93,0,0,Labor
2/22/2024,Check,555,0,0,Labor
2/22/2024,Check,6100,0,0,Labor
2/22/2024,Check,4225,0,0,Labor
2/21/2024,Check,1940,0,0,Labor
2/20/2024,Check,500,0,0,Labor
2/20/2024,Check,2788,0,0,Labor
2/20/2024,Check,1653.48,0,0,Labor
2/20/2024,Check,2241,0,0,Labor
2/16/2024,Check,500,0,0,Labor
2/16/2024,Check,1619.82,0,0,Labor
2/16/2024,Check,1619.82,0,0,Labor
2/16/2024,Check,1058.75,0,0,Labor
2/16/2024,Check,250,0,0,Labor
2/16/2024,Check,1626,0,0,Labor
2/16/2024,Check,4141.6,0,0,Labor
2/16/2024,Check,1300,0,0,Labor
2/15/2024,Check,2195,0,0,Labor
2/15/2024,Check,1440,0,0,Labor
2/15/2024,Check,400,0,0,Labor
2/14/2024,Check,3600,0,0,Labor
2/12/2024,Check,1749,0,0,Labor
2/6/2024,Check,3000,0,0,Labor
2/6/2024,Check,500,0,0,Labor
2/5/2024,Check,500,0,0,Labor
2/5/2024,Check,1759.11,0,0,Labor
2/5/2024,Check,1820,0,0,Labor
2/5/2024,Check,730,0,0,Labor
2/2/2024,Check,1000,0,0,Labor
2/2/2024,Check,2868,0,0,Labor
2/2/2024,Check,2073,0,0,Labor
2/2/2024,Check,2139.82,0,0,Labor
2/2/2024,Check,1138.75,0,0,Labor
2/2/2024,Check,250,0,0,Labor
2/2/2024,Check,4225,0,0,Labor
2/2/2024,Check,6200,0,0,Labor
2/2/2024,Check,4947,0,0,Labor
2/2/2024,Check,1300,0,0,Labor
2/2/2024,Check,1200,0,0,Labor
2/2/2024,Check,2195,0,0,Labor
2/2/2024,Check,134.27,0,0,Labor
2/1/2024,Check,2600,0,0,Labor
2/1/2024,Check,1742,0,0,Labor
1/26/2024,Check,2749.05,0,0,Labor
1/25/2024,Check,1000,0,0,Labor
1/25/2024,Check,110,0,0,Labor
1/24/2024,Check,2000,0,0,Labor
1/24/2024,Check,277.05,0,0,Labor
1/24/2024,Check,3769.5,0,0,Labor
1/24/2024,Check,6600,0,0,Labor
1/24/2024,Check,4225,0,0,Labor
1/22/2024,Check,2050,0,0,Labor
1/19/2024,Check,500,0,0,Labor
1/18/2024,Check,500,0,0,Labor
1/18/2024,Check,1300,0,0,Labor
1/18/2024,Check,160,0,0,Labor
1/18/2024,Check,750,0,0,Labor
