Date,Check,Description,Debit,Credit,Cards,Purchase Type
8/6/2024,0,7 Days Food Store,24.89,0,0940,Gas
8/16/2024,0,7Eleven,91.65,0,0940,Gas
7/30/2024,0,7Eleven,32.87,0,0940,Gas
7/30/2024,0,7Eleven,1.42,0,0940,Gas
7/6/2024,0,7Eleven,69.1,0,2591,Gas
6/25/2024,0,7Eleven,25.29,0,0940,Gas
6/21/2024,0,7Eleven,12.98,0,2591,Gas
6/20/2024,0,7Eleven,58.89,0,0940,Gas
6/13/2024,0,7Eleven,21.95,0,2591,Gas
6/6/2024,0,7Eleven,61.35,0,0940,Gas
5/31/2024,0,7Eleven,34.53,0,2591,Gas
5/29/2024,0,7Eleven,35.2,0,2591,Gas
5/24/2024,0,7Eleven,55.59,0,2994,Gas
5/22/2024,0,7Eleven,56.65,0,0940,Gas
5/21/2024,0,7Eleven,50.49,0,2591,Gas
5/18/2024,0,7Eleven,20,0,2591,Gas
5/16/2024,0,7Eleven,40.68,0,0940,Gas
5/14/2024,0,7Eleven,59.6,0,2591,Gas
5/5/2024,0,7Eleven,65.06,0,0940,Gas
4/9/2024,0,7Eleven,51.95,0,0940,Gas
4/9/2024,0,7Eleven,51.28,0,2591,Gas
3/31/2024,0,7Eleven,31.41,0,2591,Gas
3/30/2024,0,7Eleven,48.97,0,2994,Gas
3/25/2024,0,7Eleven,50.01,0,2591,Gas
3/22/2024,0,7Eleven,100.17,0,2591,Gas
3/22/2024,0,7Eleven,36.47,0,2591,Gas
3/22/2024,0,7Eleven,63.28,0,0940,Gas
3/14/2024,0,7Eleven,54.73,0,2591,Gas
3/9/2024,0,7Eleven,51.26,0,0940,Gas
3/6/2024,0,7Eleven,11.9,0,0940,Gas
3/5/2024,0,7Eleven,49.86,0,2591,Gas
3/1/2024,0,7Eleven,62.96,0,2591,Gas
2/29/2024,0,7Eleven,30.52,0,2591,Gas
2/16/2024,0,7Eleven,42.44,0,0940,Gas
2/12/2024,0,7Eleven,35.71,0,0940,Gas
2/4/2024,0,7Eleven,52.91,0,2591,Gas
2/1/2024,0,7Eleven,21.09,0,2994,Gas
1/28/2024,0,7Eleven,48.41,0,2591,Gas
1/27/2024,0,7Eleven,46.28,0,0940,Gas
1/12/2024,0,7Eleven,56.37,0,0940,Gas
1/9/2024,0,7Eleven,42.21,0,2591,Gas
9/28/2024,0,7Eleven,60.99,0,0940,Gas
9/26/2024,0,7Eleven,19.66,0,2591,Gas
9/26/2024,0,7Eleven,12.98,0,0940,Gas
9/25/2024,0,7Eleven,60.38,0,2591,Gas
9/13/2024,0,7Eleven,19.41,0,0940,Gas
9/5/2024,0,7Eleven,63,0,0940,Gas
4/30/2024,0,A Plus Outdoor Power Equipment,167.4,0,2591,Supplies
4/20/2024,0,A Plus Outdoor Power Equipment,100,0,2591,Supplies
4/10/2024,0,A Plus Outdoor Power Equipment,82.23,0,2591,Supplies
2/22/2024,0,A Plus Outdoor Power Equipment,155.18,0,2591,Supplies
2/8/2024,0,A Plus Outdoor Power Equipment,100,0,2591,Supplies
8/21/2024,0,A&A Automechanic,372.84,0,0940,Auto Maintenance
7/31/2024,0,A&A Automechanic,834.67,0,0940,Auto Maintenance
2/26/2024,0,A&A Automechanic,360.65,0,0940,Auto Maintenance
2/22/2024,0,A&A Automechanic,1073.47,0,2591,Auto Maintenance
1/1/2024,0,A&A Automechanic,2847.77,0,7805,Auto Maintenance
8/8/2024,0,Adobe,21.64,0,2591,Software
7/8/2024,0,Adobe,21.64,0,2591,Software
6/9/2024,0,Adobe,21.64,0,2591,Software
5/9/2024,0,Adobe,21.64,0,2591,Software
4/9/2024,0,Adobe,21.64,0,2591,Software
3/8/2024,0,Adobe,21.64,0,2591,Software
2/10/2024,0,Adobe,21.64,0,2591,Software
1/11/2024,0,Adobe,21.64,0,2591,Software
9/8/2024,0,Adobe,21.64,0,2591,Software
5/8/2024,0,Advanced Auto Parts,10.81,0,2591,Auto Maintenance
7/7/2024,0,Airbnb,2883.93,0,2994,Recreational
2/13/2024,0,Alchemy Systems Payment,0,4139.16,0,Payment
7/18/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
6/18/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
5/21/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
4/10/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
3/13/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
1/4/2024,0,Alchemy Systems Payment,0,2069.58,0,Payment
7/27/2024,0,All Star Grocery,30,0,0940,Groceries
4/25/2024,0,All Star Grocery,66.04,0,2591,Groceries
3/28/2024,0,All Star Grocery,36.42,0,2591,Groceries
2/17/2024,0,All Star Grocery,37.37,0,2591,Groceries
1/9/2024,0,All Star Grocery,82.68,0,2591,Groceries
9/24/2024,0,All Star Grocery,30.29,0,0940,Groceries
9/17/2024,0,All Star Grocery,80,0,0940,Groceries
9/17/2024,0,All Star Grocery,37.57,0,0940,Groceries
8/7/2024,0,Allstate,65.32,0,0,Insurance
8/6/2024,0,Allstate,45.99,0,0,Insurance
7/9/2024,0,Allstate,65.32,0,0,Insurance
7/5/2024,0,Allstate,45.99,0,0,Insurance
6/6/2024,0,Allstate,65.32,0,0,Insurance
6/5/2024,0,Allstate,45.99,0,0,Insurance
5/7/2024,0,Allstate,65.32,0,0,Insurance
5/6/2024,0,Allstate,45.99,0,0,Insurance
4/8/2024,0,Allstate,65.32,0,0,Insurance
4/4/2024,0,Allstate,45.99,0,0,Insurance
3/6/2024,0,Allstate,65.32,0,0,Insurance
3/5/2024,0,Allstate,45.98,0,0,Insurance
2/7/2024,0,Allstate,983.61,0,0,Insurance
2/7/2024,0,Allstate,65.32,0,0,Insurance
2/6/2024,0,Allstate,52.08,0,0,Insurance
1/9/2024,0,Allstate,987.11,0,0,Insurance
1/9/2024,0,Allstate,67.82,0,0,Insurance
1/9/2024,0,Allstate,54.58,0,0,Insurance
9/6/2024,0,Allstate,65.32,0,0,Insurance
9/5/2024,0,Allstate,45.99,0,0,Insurance
2/14/2024,0,Allstate Credit,0,1223.68,0,Credit
8/27/2024,0,Ally Bank,509.98,0,0,Loan
7/29/2024,0,Ally Bank,509.98,0,0,Loan
6/27/2024,0,Ally Bank,509.98,0,0,Loan
5/29/2024,0,Ally Bank,509.98,0,0,Loan
4/29/2024,0,Ally Bank,509.98,0,0,Loan
3/27/2024,0,Ally Bank,509.98,0,0,Loan
2/27/2024,0,Ally Bank,509.98,0,0,Loan
1/29/2024,0,Ally Bank,509.98,0,0,Loan
9/27/2024,0,Ally Bank,509.98,0,0,Loan
3/25/2024,0,Amazon,0,32.14,2591,Credit
3/25/2024,0,Amazon,0,24.84,2591,Credit
8/15/2024,0,Amazon,257.29,0,0940,Supplies
8/15/2024,0,Amazon,216.49,0,0940,Supplies
7/24/2024,0,Amazon,26.33,0,2994,Supplies
6/19/2024,0,Amazon,16.97,0,2994,Supplies
6/19/2024,0,Amazon,31.97,0,2994,Supplies
4/13/2024,0,Amazon,314.5,0,2591,Supplies
3/6/2024,0,Amazon,32.14,0,2591,Supplies
3/6/2024,0,Amazon,24.84,0,2591,Supplies
2/14/2024,0,Amazon,18.26,0,2591,Supplies
1/9/2024,0,Amazon,27.72,0,2591,Supplies
9/9/2024,0,Amazon,30.63,0,2994,Supplies
9/9/2024,0,Amazon,15.1,0,2994,Supplies
9/9/2024,0,Amazon,159.96,0,2994,Supplies
9/6/2024,0,Amazon,72.53,0,2994,Supplies
3/8/2024,0,American Bolt Company,361.39,0,2591,Supplies
7/1/2024,0,American General Life Insurance,134.89,0,0,Insurance
3/29/2024,0,American General Life Insurance,134.89,0,0,Insurance
8/8/2024,0,Amex,1000,0,0,Credit Card
7/9/2024,0,Amex,1190,0,0,Credit Card
7/5/2024,0,Amex,500,0,0,Credit Card
6/24/2024,0,Amex,2.15,0,0,Credit Card
6/7/2024,0,Amex,1000,0,0,Credit Card
5/10/2024,0,Amex,1000,0,0,Credit Card
4/10/2024,0,Amex,850,0,0,Credit Card
3/7/2024,0,Amex,550,0,0,Credit Card
2/12/2024,0,Amex,595,0,0,Credit Card
2/12/2024,0,Amex,37.52,0,0,Credit Card
1/22/2024,0,Amex,940.42,0,0,Credit Card
1/11/2024,0,Amex,922,0,0,Credit Card
9/10/2024,0,Amex,493,0,0,Credit Card
3/21/2024,0,Amtrust,1753,0,0,Insurance
6/14/2024,0,Amtrust,1186,0,0,Insurance
7/8/2024,0,Appalachian Underwriters,803.37,0,0,Insurance
6/6/2024,0,Appalachian Underwriters,803.37,0,0,Insurance
5/7/2024,0,Appalachian Underwriters,803.37,0,0,Insurance
4/8/2024,0,Appalachian Underwriters,1438.41,0,0,Insurance
3/6/2024,0,Appalachian Underwriters,803.37,0,0,Insurance
2/6/2024,0,Appalachian Underwriters,803.37,0,0,Insurance
1/3/2024,0,Appalachian Underwriters,1438.4,0,0,Insurance
8/19/2024,0,Apple,16.23,0,2591,Software
8/5/2024,0,Apple,2.99,0,2591,Software
7/23/2024,0,Apple,16.23,0,2591,Software
7/5/2024,0,Apple,2.99,0,2591,Software
6/23/2024,0,Apple,16.23,0,2591,Software
6/5/2024,0,Apple,2.99,0,2591,Software
5/23/2024,0,Apple,16.23,0,2591,Software
5/5/2024,0,Apple,2.99,0,2591,Software
4/23/2024,0,Apple,16.23,0,2591,Software
4/5/2024,0,Apple,2.99,0,2591,Software
3/23/2024,0,Apple,16.23,0,2591,Software
3/6/2024,0,Apple,4.32,0,2591,Software
3/6/2024,0,Apple,2.99,0,2591,Software
2/19/2024,0,Apple,16.23,0,2591,Software
2/5/2024,0,Apple,2.99,0,2591,Software
1/19/2024,0,Apple,16.23,0,2591,Software
1/12/2024,0,Apple,2.99,0,2591,Software
9/22/2024,0,Apple,16.23,0,2591,Software
9/5/2024,0,Apple,2.99,0,2591,Software
8/27/2024,0,AT&T,558.77,0,0,Phones/Internet
8/19/2024,0,AT&T,60.54,0,0,Phones/Internet
7/29/2024,0,AT&T,589.45,0,0,Phones/Internet
7/19/2024,0,AT&T,60.54,0,0,Phones/Internet
6/27/2024,0,AT&T,536.77,0,0,Phones/Internet
6/18/2024,0,AT&T,60.54,0,0,Phones/Internet
5/28/2024,0,AT&T,581.23,0,0,Phones/Internet
5/20/2024,0,AT&T,60.54,0,0,Phones/Internet
4/29/2024,0,AT&T,559,0,0,Phones/Internet
4/18/2024,0,AT&T,60.54,0,0,Phones/Internet
3/27/2024,0,AT&T,619.21,0,0,Phones/Internet
3/21/2024,0,AT&T,60.54,0,0,Phones/Internet
2/27/2024,0,AT&T,598.08,0,0,Phones/Internet
2/20/2024,0,AT&T,60.54,0,0,Phones/Internet
1/29/2024,0,AT&T,489.24,0,0,Phones/Internet
1/18/2024,0,AT&T,60.54,0,0,Phones/Internet
1/13/2024,0,AT&T,207.44,0,2994,Phones/Internet
9/27/2024,0,AT&T,556.56,0,0,Phones/Internet
9/18/2024,0,AT&T,60.54,0,0,Phones/Internet
8/5/2024,0,Atm Withdrawal,300,0,0940,Withdrawal
5/28/2024,0,Atm Withdrawal,100,0,0940,Withdrawal
5/15/2024,0,Atm Withdrawal,120,0,0940,Withdrawal
5/10/2024,0,Atm Withdrawal,100,0,0940,Withdrawal
4/19/2024,0,Atm Withdrawal,160,0,2591,Withdrawal
3/22/2024,0,Atm Withdrawal,200,0,0940,Withdrawal
3/21/2024,0,Atm Withdrawal,120,0,2591,Withdrawal
1/23/2024,0,Atm Withdrawal,100,0,2591,Withdrawal
8/29/2024,0,Atmos Energy,52.26,0,0,Utilities
7/31/2024,0,Atmos Energy,130.17,0,0,Utilities
5/30/2024,0,Atmos Energy,57.81,0,0,Utilities
4/25/2024,0,Atmos Energy,103.95,0,0,Utilities
3/27/2024,0,Atmos Energy,97.16,0,0,Utilities
3/7/2024,0,Atmos Energy,564.65,0,0,Utilities
1/3/2024,0,Atmos Energy,149.88,0,2994,Utilities
9/25/2024,0,Atmos Energy,82.58,0,0,Utilities
8/11/2024,0,Austin Ranch,15,0,0940,Recreational
5/24/2024,0,Austin Ranch,18,0,2591,Recreational
5/22/2024,0,Austin Tire Man,295,0,2591,Auto Maintenance
4/2/2024,0,Austin Tire Man,265,0,2591,Auto Maintenance
1/24/2024,0,Austin Tool,21.6,0,2591,Auto Maintenance
5/20/2024,0,Austozone,15.14,0,2591,Auto Maintenance
5/16/2024,0,Austozone,17.31,0,2591,Auto Maintenance
5/16/2024,0,Austozone,125.3,0,2591,Auto Maintenance
5/4/2024,0,Austozone,29.22,0,2591,Auto Maintenance
8/31/2024,0,Bank Fee,32,0,0,Fee
7/31/2024,0,Bank Fee,25.75,0,0,Fee
7/17/2024,0,Bank Fee,15,0,0,Fee
6/30/2024,0,Bank Fee,23.75,0,0,Fee
5/31/2024,0,Bank Fee,32.95,0,0,Fee
4/30/2024,0,Bank Fee,25.25,0,0,Fee
4/30/2024,0,Bank Fee,6,0,0,Fee
4/19/2024,0,Bank Fee,34,0,0,Fee
4/19/2024,0,Bank Fee,34,0,0,Fee
4/19/2024,0,Bank Fee,34,0,0,Fee
